Sub-Borough Area,income_diversity_2017,income_diversity_2019,racial_diversity_2017,racial_diversity_2019,bachelor_or_higher_2017,bachelor_or_higher_2019,car_free_commute_2017,car_free_commute_2019,mean_travel_time_2017,mean_travel_time_2019,poverty_rate_2017,poverty_rate_2019,no_highschool_2017,no_highschool_2019,crowding_rate_2017,crowding_rate_2019,pop_above_65_2017,pop_above_65_2019,under_18_2017,under_18_2019,homeownership_2017,homeownership_2019,born_in_ny_rate_2017,born_in_ny_rate_2019,foreclosure_rate_2017,foreclosure_rate_2019,median_income_2017,median_income_2019,Community District,ela_grade4_2017,ela_grade4_2019,math_grade4_2017,math_grade4_2019,park_access_2017,subway_access_2017,income_growth,gentrification_label
Upper East Side,5.172413793103452,5.646666666666668,0.419805614940242,0.448352313191047,0.836551691970428,0.815771447467876,0.832405126706467,0.850102304065475,29.8208575126289,30.8936037719064,0.0606218524817722,0.058377328721403,0.0199923039249983,0.0237150415721844,0.192410570490946,0.214428654426072,0.192410570490946,0.214428654426072,0.175082499124311,0.190963460063041,0.368895525689951,0.356775094053594,0.480195500865936,0.465376209227478,44,36,157507.05088633997,155421.76367898073,MN 08 - Upper East Side,0.8081841432225064,0.8684931506849315,0.779746835443038,0.8369272237196765,0.6862002144250811,0.9645133149984352,-0.013239326084925725,Higher-Income
Morningside Heights/Hamilton Heights,8.242424242424248,8.823529411764738,0.725280874115048,0.704526996944754,0.4478312567854,0.514783814042757,0.888692043731546,0.936430169042801,37.5383449046365,33.1058381388555,0.227496038665807,0.195856967114986,0.188874528253115,0.183910006930746,0.130836586603145,0.140367518086075,0.130836586603145,0.140367518086075,0.210884491114701,0.176924336047796,0.161914378029079,0.153353521299669,0.424344015821552,0.395364243396042,14,9,60015.477074333394,79143.96996016738,MN 09 - Morningside Heights/Hamilton,0.3783185840707964,0.4014251781472684,0.3427947598253275,0.394919168591224,0.9996480112636396,1.0,0.3187259989975919,Gentrifying
Central Harlem,9.285714285714272,8.866666666666655,0.634306287838141,0.624362647341614,0.404862291418215,0.411563226430232,0.856038350798731,0.880366754287145,36.8883091448532,36.1484541244211,0.235349142080719,0.200775502381058,0.17801170029955,0.139258604019666,0.113753204649964,0.118803675807291,0.113753204649964,0.118803675807291,0.263589051657672,0.228096490144523,0.149383191981496,0.139847182763063,0.532595868205803,0.585422915856869,38,49,58829.5094667064,63588.36562603356,MN 10 - Central Harlem,0.2318104906937394,0.2864583333333333,0.1442786069651741,0.2277397260273972,0.9668817707636752,1.0,0.08089233111862616,Non-Gentrifying
East Harlem,6.515151515151516,10.103092783505156,0.640093473340258,0.66371724081652,0.272638266151912,0.3075068783603,0.866926803013993,0.941730682331676,38.9658619098877,35.6741979213737,0.315458630418881,0.339928359545531,0.286389782045149,0.235088472120554,0.127980922098569,0.134255105336827,0.127980922098569,0.134255105336827,0.250312417162116,0.19061308418678,0.0864543492255841,0.0545606995268611,0.570373141307397,0.598015289093062,8,13,44093.05251005512,37514.95946276297,MN 11 - East Harlem,0.3601789709172259,0.433589462129528,0.339265850945495,0.3721436343852013,0.9998221336843228,0.975454448436555,-0.149186610425578,Non-Gentrifying
Washington Heights/Inwood,5.733333333333321,5.68743818001977,0.504313136891389,0.494525513459767,0.346882901949686,0.358658054034223,0.876876904693535,0.875909923801704,42.4122567318469,43.1106627549539,0.187209792184585,0.154866134685659,0.292028374728527,0.249842771415843,0.148960445094955,0.156005017246786,0.148960445094955,0.156005017246786,0.233601277889421,0.257707261516711,0.0893363219456897,0.105381664899397,0.370062455113228,0.385891933207902,13,6,67610.94605988382,61938.80942896996,MN 12 - Washington Heights/Inwood,0.2848232848232848,0.4253521126760563,0.278336686787391,0.3986486486486486,0.984394626180984,1.0,-0.08389376220072386,Non-Gentrifying
Mott Haven/Hunts Point,5.886666666666657,6.8715686274510075,0.467395967349773,0.455965477146692,0.097141753572808,0.133186577068105,0.773947714729048,0.859489408355848,43.3544477834738,42.6167821762794,0.441853953685303,0.395804205883625,0.409902217885386,0.297960860314718,0.0868972927339358,0.106058954939247,0.0868972927339358,0.106058954939247,0.393009877758014,0.320008098209191,0.053343677856413,0.0872397990171719,0.557212021207877,0.595542963003324,70,67,25141.553955012667,29025.243568542297,BX 01 - Mott Haven/Melrose,0.2464183381088825,0.3619691119691119,0.2190121155638397,0.2954971857410882,0.9978928933037792,0.9999726349779712,0.15447293434920353,Gentrifying
Morrisania/Belmont,6.185567010309277,6.500000000000027,0.511151959215718,0.522024739425563,0.133291351805206,0.113220973417685,0.744389144520612,0.770652792183893,46.9620778163834,44.0346137116472,0.358108329421013,0.402750584410191,0.365965225300868,0.324485558599043,0.103432141432939,0.0999710865668189,0.103432141432939,0.0999710865668189,0.416201913936244,0.357633151137664,0.0680968375689207,0.0513696453540104,0.533946563870796,0.559018099809171,115,51,31144.54065246537,27324.75370644655,BX 03 - Morrisania/Crotona,0.2030696576151121,0.3363636363636363,0.1841794569067296,0.2636871508379888,0.9975678715836196,0.6302860791049767,-0.12264707926319822,Non-Gentrifying
Highbridge/South Concourse,5.580357142857132,5.211267605633793,0.44906061687423,0.521490063967076,0.176038626837162,0.153775504272511,0.823736862320612,0.834703262483253,44.1182478438493,44.6403483361698,0.364128858154832,0.323693789229314,0.320539077837322,0.277265593210487,0.0848907888584597,0.0820263154159511,0.0848907888584597,0.0820263154159511,0.40405309873537,0.413542394886647,0.0620336187259445,0.0575451912513732,0.468579253222898,0.526819297971697,38,41,37053.99299865932,37689.75454048691,BX 04 - Highbridge/Concourse,0.2580060422960725,0.3694054776219105,0.2404467960023515,0.3648562300319489,0.994301662984068,0.9629801914951353,0.01715770664312999,Non-Gentrifying
University Heights/Fordham,5.824074074074069,6.846673095467689,0.43427115451043,0.469363621748095,0.114867621724544,0.151641114860526,0.800219029587556,0.830587023686921,46.1266102387051,48.0996989622118,0.364299345692475,0.313742450008796,0.366590352706501,0.310369790876079,0.079823916839132,0.0922877670773973,0.079823916839132,0.0922877670773973,0.473295023311287,0.396564034878941,0.0371462647728505,0.040006923859186,0.454250062357168,0.457300175820677,53,27,36173.81077014748,37071.60506032413,BX 05 - Fordham/University Heights,0.2618892508143322,0.337508698677801,0.2199747155499367,0.2793333333333333,0.9934451513398882,0.9827891406838776,0.024818902710619522,Non-Gentrifying
Kingsbridge Heights/Mosholu,5.696721311475426,5.833333333333331,0.430526812337237,0.440205429111358,0.171752596101294,0.153498429696751,0.772360923355978,0.823860353374084,46.7681685175995,48.1800626463522,0.329466846634048,0.226273159798415,0.293769356895609,0.317283632806467,0.0839417583948725,0.0955143587985549,0.0839417583948725,0.0955143587985549,0.483093455322271,0.350475435816165,0.0684677297542239,0.0585182250396196,0.505656959732479,0.464815010152686,25,28,42396.24344555341,47849.86313110252,BX 07 - Kingsbridge Heights/Bedford,0.2903022670025189,0.3780718336483932,0.2584951456310679,0.3489646772228989,0.8983693291743988,0.9952224898329846,0.1286345025486236,Gentrifying
